date,effort,running
01/10/15,1.75,1.75
02/10/15,0.5,2.25
05/10/15,0,2.25
06/10/15,2,4.25
07/10/15,1,5.25
08/10/15,0,5.25
09/10/15,2.5,7.75
12/10/15,0.75,8.5
13/10/15,2.75,11.25
14/10/15,2,13.25
15/10/15,0,13.25
16/10/15,0,13.25
19/10/15,0.75,14
20/10/15,0.75,14.75
21/10/15,3.5,18.25
22/10/15,4,22.25
23/10/15,1,23.25
26/10/15,0,23.25
27/10/15,0.75,24
28/10/15,0,24
29/10/15,0,24
30/10/15,0,24
