date,effort,running
01/10/15,0,0
02/10/15,2,2
05/10/15,1.75,3.75
06/10/15,0.75,4.5
07/10/15,6,10.5
08/10/15,3.5,14
09/10/15,0.75,14.75
12/10/15,1.75,16.5
13/10/15,0.5,17
14/10/15,0.25,17.25
15/10/15,6.5,23.75
16/10/15,3.5,27.25
19/10/15,3,30.25
20/10/15,4.25,34.5
21/10/15,3.5,38
22/10/15,0.75,38.75
23/10/15,3,41.75
26/10/15,0.5,42.25
27/10/15,1.25,43.5
28/10/15,0.5,44
29/10/15,4.5,48.5
30/10/15,0.25,48.75
